20191001 013600;117.886000;117.888000;117.879000;117.880000;0
20191001 013700;117.882000;117.882000;117.870000;117.871000;0
20191001 013800;117.870000;117.872000;117.862000;117.866000;0
20191001 013900;117.865000;117.868000;117.854000;117.855000;0
20191001 014000;117.854000;117.859000;117.848000;117.850000;0
20191001 014100;117.849000;117.852000;117.847000;117.850000;0
20191001 014200;117.852000;117.871000;117.852000;117.870000;0
20191001 014300;117.870000;117.876000;117.865000;117.869000;0
20191001 014400;117.870000;117.880000;117.867000;117.868000;0
20191001 014500;117.868000;117.875000;117.859000;117.859000;0
20191001 014600;117.860000;117.867000;117.858000;117.861000;0
20191001 014700;117.861000;117.863000;117.852000;117.852000;0
20191001 014800;117.852000;117.858000;117.846000;117.852000;0
20191001 014900;117.852000;117.855000;117.838000;117.841000;0
20191001 015000;117.842000;117.854000;117.839000;117.851000;0
20191001 015100;117.851000;117.859000;117.847000;117.858000;0
20191001 015200;117.855000;117.855000;117.835000;117.835000;0
20191001 015300;117.836000;117.841000;117.828000;117.832000;0
20191001 015400;117.831000;117.838000;117.825000;117.827000;0
20191001 015500;117.825000;117.826000;117.818000;117.823000;0
20191001 015600;117.823000;117.825000;117.818000;117.820000;0
20191001 015700;117.820000;117.820000;117.808000;117.810000;0
20191001 015800;117.808000;117.809000;117.798000;117.804000;0
20191001 015900;117.805000;117.809000;117.787000;117.795000;0
20191001 020000;117.796000;117.798000;117.788000;117.789000;0
20191001 020100;117.787000;117.807000;117.787000;117.799000;0
20191001 020200;117.800000;117.813000;117.799000;117.808000;0
20191001 020300;117.807000;117.817000;117.805000;117.814000;0
20191001 020400;117.814000;117.829000;117.814000;117.829000;0
20191001 020500;117.829000;117.829000;117.789000;117.793000;0
20191001 020600;117.793000;117.811000;117.784000;117.809000;0
20191001 020700;117.809000;117.812000;117.787000;117.812000;0
20191001 020800;117.814000;117.817000;117.792000;117.801000;0
20191001 020900;117.803000;117.803000;117.786000;117.788000;0
20191001 021000;117.792000;117.824000;117.790000;117.806000;0
20191001 021100;117.807000;117.810000;117.796000;117.810000;0
20191001 021200;117.810000;117.819000;117.808000;117.811000;0
20191001 021300;117.811000;117.824000;117.809000;117.822000;0
20191001 021400;117.822000;117.833000;117.821000;117.827000;0
20191001 021500;117.827000;117.830000;117.818000;117.822000;0
20191001 021600;117.826000;117.831000;117.814000;117.821000;0
20191001 021700;117.821000;117.841000;117.815000;117.818000;0
20191001 021800;117.818000;117.829000;117.818000;117.829000;0
20191001 021900;117.829000;117.837000;117.827000;117.827000;0
20191001 022000;117.826000;117.826000;117.817000;117.821000;0
20191001 022100;117.822000;117.827000;117.814000;117.827000;0
20191001 022200;117.826000;117.826000;117.820000;117.824000;0
20191001 022300;117.823000;117.824000;117.803000;117.807000;0
20191001 022400;117.807000;117.811000;117.801000;117.811000;0
20191001 022500;117.810000;117.820000;117.809000;117.819000;0
20191001 022600;117.819000;117.829000;117.819000;117.823000;0
20191001 022700;117.822000;117.825000;117.818000;117.825000;0
20191001 022800;117.826000;117.829000;117.820000;117.825000;0
20191001 022900;117.825000;117.842000;117.824000;117.840000;0
20191001 023000;117.838000;117.849000;117.838000;117.844000;0
20191001 023100;117.845000;117.848000;117.838000;117.842000;0
20191001 023200;117.845000;117.848000;117.834000;117.834000;0
20191001 023300;117.834000;117.838000;117.824000;117.827000;0
20191001 023400;117.825000;117.827000;117.814000;117.823000;0
20191001 023500;117.823000;117.831000;117.813000;117.821000;0
20191001 023600;117.821000;117.824000;117.807000;117.811000;0
20191001 023700;117.810000;117.815000;117.798000;117.800000;0
20191001 023800;117.800000;117.823000;117.797000;117.822000;0
20191001 023900;117.822000;117.823000;117.809000;117.811000;0
20191001 024000;117.811000;117.831000;117.806000;117.829000;0
20191001 024100;117.829000;117.832000;117.826000;117.832000;0
20191001 024200;117.832000;117.840000;117.831000;117.839000;0
20191001 024300;117.839000;117.849000;117.839000;117.848000;0
20191001 024400;117.849000;117.853000;117.839000;117.843000;0
20191001 024500;117.843000;117.843000;117.830000;117.831000;0
20191001 024600;117.832000;117.835000;117.824000;117.831000;0
20191001 024700;117.830000;117.847000;117.830000;117.845000;0
20191001 024800;117.846000;117.849000;117.827000;117.835000;0
20191001 024900;117.835000;117.862000;117.835000;117.857000;0
20191001 025000;117.857000;117.859000;117.848000;117.854000;0
20191001 025100;117.855000;117.858000;117.848000;117.858000;0
20191001 025200;117.857000;117.857000;117.845000;117.850000;0
20191001 025300;117.850000;117.852000;117.832000;117.832000;0
20191001 025400;117.832000;117.832000;117.810000;117.815000;0
20191001 025500;117.814000;117.823000;117.807000;117.816000;0
20191001 025600;117.818000;117.822000;117.799000;117.800000;0
20191001 025700;117.800000;117.808000;117.789000;117.797000;0
20191001 025800;117.796000;117.798000;117.782000;117.787000;0
20191001 025900;117.787000;117.795000;117.765000;117.770000;0
20191001 030000;117.771000;117.800000;117.768000;117.797000;0
20191001 030100;117.797000;117.805000;117.785000;117.787000;0
20191001 030200;117.786000;117.813000;117.782000;117.813000;0
20191001 030300;117.812000;117.818000;117.796000;117.813000;0
